2026-05-30 22:45:13 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:45:13 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:45:13 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:45:45 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-30 22:45:45 | ERROR | bot | [SANDBOX_TEST] ❌ TG_BOT_TOKEN не задан! Бот не может быть запущен.
2026-05-30 22:50:17 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:50:17 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:50:17 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:53:31 | INFO | bot | 🔧 Режим: [TEST/SANDBOX]. Загружаем .env.test и конфиги из CONFIG/test
2026-05-30 22:53:32 | INFO | detector | [SANDBOX_TEST] 🚀 Мониторинг делистингов запущен.
2026-05-30 22:53:32 | INFO | bot | [SANDBOX_TEST] 🔑 Phemex API ключи обнаружены. Приватный WS запущен.
2026-05-30 22:53:32 | INFO | bot | [SANDBOX_TEST] 🤖 Telegram бот запускает polling...
2026-05-30 22:53:32 | INFO | detector | [SANDBOX_TEST] Обновлен список делистингов биржи: 278 монет(ы)
2026-05-30 22:53:32 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 22:53:33 | INFO | api | [SANDBOX_TEST] ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-30 22:53:33 | INFO | api | [SANDBOX_TEST] 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-30 22:53:34 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-orders/activeList): HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:53:34 | ERROR | detector | [SANDBOX_TEST] REST Orders poll failed: Private API request failed: HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:53:35 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-orders/triggerList): HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 22:53:35 | ERROR | detector | [SANDBOX_TEST] REST Conditional orders poll failed: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 22:54:07 | ERROR | detector | [SANDBOX_TEST] REST Orders poll failed: Private API request failed: HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:54:08 | ERROR | detector | [SANDBOX_TEST] REST Conditional orders poll failed: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 22:54:35 | INFO | bot | [SANDBOX_TEST] 🧹 Завершение работы приложения, очистка ресурсов...
2026-05-30 22:54:35 | INFO | detector | [SANDBOX_TEST] 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:57:52 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:57:52 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:57:52 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
