2026-05-30 22:53:32 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 22:53:33 | INFO | api | [SANDBOX_TEST] ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-30 22:53:33 | INFO | api | [SANDBOX_TEST] 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-30 22:53:34 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-orders/activeList): HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:53:35 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-orders/triggerList): HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 23:00:41 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 23:00:41 | INFO | api | [SANDBOX_TEST] ✅ Авторизация успешна! Подписываемся на канал (aop_p.subscribe)...
2026-05-30 23:00:42 | INFO | api | [SANDBOX_TEST] 🎯 Подписка ПРИНЯТА БИРЖЕЙ! Канал USDT-фьючерсов открыт.
2026-05-30 23:13:30 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 23:13:30 | ERROR | api | [SANDBOX_TEST] ❌ Ошибка авторизации: {'code': 6012, 'message': 'invalid login token'}
2026-05-30 23:14:30 | INFO | api | [SANDBOX_TEST] 🔐 Private WS Подключен. Отправляем авторизацию...
2026-05-30 23:14:30 | ERROR | api | [SANDBOX_TEST] ❌ Ошибка авторизации: {'code': 6012, 'message': 'invalid login token'}
2026-05-30 23:15:14 | ERROR | api | [SANDBOX_TEST] Private WS Переподключение: 403, message='Invalid response status', url='wss://testnet-api.phemex.com/ws'
2026-05-30 23:16:16 | ERROR | api | [SANDBOX_TEST] Private WS Переподключение: 403, message='Invalid response status', url='wss://testnet-api.phemex.com/ws'
2026-05-30 23:39:47 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-accounts/accountPositions): HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-31 00:00:02 | ERROR | api | [SANDBOX_TEST] API Request Failed (GET /g-accounts/accountPositions): HTTP 401: {"code": "401","msg": "401 Failed to load API KEY."}
2026-05-31 00:15:17 | ERROR | api | API Request Failed (GET /g-orders/activeList): Phemex Error [10002]: OM_ORDER_NOT_FOUND
2026-05-31 00:15:17 | ERROR | api | API Request Failed (GET /g-orders/triggerList): HTTP 401: {"code": "401","msg": "401 Miss Signature."}
