2026-05-30 22:45:13 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:45:13 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:45:13 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:50:17 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:50:17 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:50:17 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:53:32 | INFO | detector | [SANDBOX_TEST] 🚀 Мониторинг делистингов запущен.
2026-05-30 22:53:32 | INFO | detector | [SANDBOX_TEST] Обновлен список делистингов биржи: 278 монет(ы)
2026-05-30 22:53:34 | ERROR | detector | [SANDBOX_TEST] REST Orders poll failed: Private API request failed: HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:53:35 | ERROR | detector | [SANDBOX_TEST] REST Conditional orders poll failed: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 22:54:07 | ERROR | detector | [SANDBOX_TEST] REST Orders poll failed: Private API request failed: HTTP 400: {"msg":"Missing required parameter,Required query parameter 'symbol' is not present.","code":10500}
2026-05-30 22:54:08 | ERROR | detector | [SANDBOX_TEST] REST Conditional orders poll failed: Private API request failed: HTTP 401: {"code": "401","msg": "401 Miss Signature."}
2026-05-30 22:54:35 | INFO | detector | [SANDBOX_TEST] 🛑 Мониторинг делистингов остановлен.
2026-05-30 22:57:52 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 22:57:52 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 22:57:52 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:00:01 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 23:00:01 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 23:00:01 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:03:06 | WARNING | detector | [SANDBOX_TEST] Мониторинг уже остановлен!
2026-05-30 23:04:48 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 23:04:48 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 23:04:48 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:07:13 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 23:07:13 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 23:07:13 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:10:24 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 23:10:24 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 23:10:24 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:11:40 | WARNING | detector | 🚨 Найдено перекрестное совпадение делистинга с активным ордером/позицией: BTCUSDT
2026-05-30 23:11:40 | INFO | detector | ℹ️ Монета BTCUSDT ушла из пересечения. Алерт сброшен.
2026-05-30 23:11:40 | INFO | detector | 🛑 Мониторинг делистингов остановлен.
2026-05-30 23:13:29 | INFO | detector | [SANDBOX_TEST] 🚀 Мониторинг делистингов запущен.
2026-05-30 23:13:30 | INFO | detector | [SANDBOX_TEST] Обновлен список делистингов биржи: 123 монет(ы)
2026-05-30 23:16:28 | INFO | detector | [SANDBOX_TEST] 🛑 Мониторинг делистингов остановлен.
